google.com,blocking banner,center,"reject all, accept all, more options","Privacy, Terms, Cookie/s, Misc",,
facebook.com,blocking banner,center,"decline optional cookies, accept all cookies","Cookies Policy, other companies, Misc",Choose cookies by category,
youtube.com,blocking banner,center,"reject all, accept all, more options","Privacy Policy, Terms of Service, Cookie/s, Misc",,
instagram.com,blocking banner,center,"decline optional cookies, accept all cookies","Cookies Policy, other companies, Misc",Choose cookies by category,
fbcdn.net,blocking banner,center,"decline optional cookies, accept all cookies","Cookies Policy, other companies, Misc",Choose cookies by category,
googlevideo.com,blocking banner,center,"reject all, accept all, more options","Privacy, Terms, Cookie/s, Misc",,
youtu.be,blocking banner,center,"reject all, accept all, more options","Privacy Policy, Terms of Service, Cookie/s, Misc",,
yahoo.com,blocking banner,center,"accept all, reject all, manage privacy settings","our partners, Privacy Policy, our Cookie Policy",,
googlesyndication.com,blocking banner,center,"reject all, accept all, more options","Privacy, Terms, Cookie/s, Misc",,
samsung.com,blocking banner,center,"accept all cookies, only accept necessary cookies, settings","Cookie Notices, Privacy Policy",,
nginx.com,blocking banner,center,"count me in, no thanks, customize settings",Privacy Policy,,
criteo.com,blocking banner,bottom bar,"accept all, deny","Privacy Policy, More Information ",,
one.one,blocking banner,center,"accept all, only necessary",Show details,,
telekom.de,blocking banner,center,"accept all, only required, settings","privacy statement, Privacy Policy, Imprint, Partner list",,
tumblr.com,blocking banner,center,"i agree, learn more",,,
f5.com,blocking banner,center,"count me in, no thanks, customize settings",Privacy Policy,,
nytimes.com,blocking banner,bottom bar,"accept all, reject all, manage preferences","Cookie Policy, Privacy Policy, Misc",,
flickr.com,blocking banner,center,"accept all, reject all, submit preferences, manage settings, required cookies, functional cookies, advertising cookies, purposes, our partners",Privacy Policy,,
theguardian.com,blocking banner,center,"accept all, reject all and subscribe","privacy policy, cookie policy, partners, misc",,
forbes.com,blocking banner,bottom bar,"accept all, reject all, manage preferences",Privacy Statement,,
bbc.com,blocking banner,center,"i agree, i do not agree, manage options","partners, privacy policy",,
bbc.co.uk,blocking banner,center,"i agree, i do not agree, manage options","partners, privacy policy",,
oracle.com,blocking banner,center,"accept all, decline all, view and change cookie preferences","our third party partners, privacy policy",,
sourceforge.net,blocking banner,center,"i accept, i do not accept","Third party, More options, Privacy Policy",,
researchgate.net,blocking banner,bottom bar,"accept, reject, customize","Partners, Privacy Policy",,
